player_name,player_points
Draymond Green,8
Klay Thompson,25
Stephen Curry,30
Andre Iguodala,5
Harrison Barnes,0
Shaun Livingston,3
Leandro Barbosa,14
Festus Ezeli,4
Brandon Rush,1
Anderson Varejao,0
Ian Clark,3
James Michael McAdoo,2
Marreese Speights,6
Tristan Thompson,15
LeBron James,41
J.R. Smith,14
Kyrie Irving,23
Kevin Love,7
Richard Jefferson,3
Iman Shumpert,0
Mo Williams,4
Dahntay Jones,5
Matthew Dellavedova,3
Timofey Mozgov,0
James Jones,0
