player_name,player_points
Draymond Green,9
Harrison Barnes,14
Stephen Curry,38
Klay Thompson,25
Andrew Bogut,0
Andre Iguodala,10
Shaun Livingston,8
James Michael McAdoo,2
Anderson Varejao,2
Festus Ezeli,0
Marreese Speights,0
LeBron James,25
J.R. Smith,10
Kyrie Irving,34
Tristan Thompson,10
Richard Jefferson,3
Kevin Love,11
Iman Shumpert,2
Channing Frye,0
Matthew Dellavedova,2
Dahntay Jones,0
