player_name,player_points
LeBron James,27
Kyrie Irving,26
J.R. Smith,12
Tristan Thompson,9
Kevin Love,9
Richard Jefferson,2
Iman Shumpert,6
Mo Williams,2
Draymond Green,32
Klay Thompson,14
Stephen Curry,17
Harrison Barnes,10
Festus Ezeli,0
Andre Iguodala,4
Shaun Livingston,8
Anderson Varejao,1
Marreese Speights,0
Leandro Barbosa,3
