player_name,player_points
Draymond Green,6
Harrison Barnes,18
Stephen Curry,19
Klay Thompson,10
Andrew Bogut,4
Andre Iguodala,11
Shaun Livingston,5
Leandro Barbosa,8
Anderson Varejao,1
Marreese Speights,5
Brandon Rush,0
Ian Clark,3
Festus Ezeli,0
LeBron James,32
J.R. Smith,20
Kyrie Irving,30
Richard Jefferson,9
Tristan Thompson,14
Iman Shumpert,3
Channing Frye,0
Matthew Dellavedova,2
Timofey Mozgov,2
Mo Williams,3
James Jones,1
Dahntay Jones,0
Jordan McRae,4
