player_name,player_points
LeBron James,23
Kyrie Irving,26
Kevin Love,17
J.R. Smith,3
Tristan Thompson,10
Iman Shumpert,3
Richard Jefferson,3
Matthew Dellavedova,2
Channing Frye,2
Mo Williams,0
Dahntay Jones,0
Timofey Mozgov,0
James Jones,0
Draymond Green,16
Stephen Curry,11
Harrison Barnes,13
Klay Thompson,9
Andrew Bogut,10
Andre Iguodala,12
Shaun Livingston,20
Leandro Barbosa,11
Festus Ezeli,2
Anderson Varejao,0
Ian Clark,0
Marreese Speights,0
Brandon Rush,0
