player_name,player_points
LeBron James,41
Tristan Thompson,6
Kyrie Irving,41
Kevin Love,2
J.R. Smith,10
Iman Shumpert,4
Richard Jefferson,8
Matthew Dellavedova,0
Mo Williams,0
Dahntay Jones,0
Timofey Mozgov,0
James Jones,0
Andre Iguodala,15
Klay Thompson,37
Stephen Curry,25
Harrison Barnes,5
Andrew Bogut,0
Shaun Livingston,7
Marreese Speights,0
Leandro Barbosa,3
Festus Ezeli,2
Anderson Varejao,3
James Michael McAdoo,0
Brandon Rush,0
